date   open  close     volume
                                  
2016-01-04  41.06  40.69  3287335.0
2016-01-05  40.73  40.55  2587246.0
2016-01-06  40.24  40.73  2103619.0
2016-01-07  40.14  39.00  3504314.0
2016-01-08  39.22  38.59  3736768.0
2016-01-11  38.71  37.94  2818611.0
2016-01-12  38.43  38.19  1989379.0
2016-01-13  38.35  36.86  4206638.0
2016-01-14  36.94  37.61  2893372.0
2016-01-15  36.67  37.11  2994386.0
2016-01-19  37.64  37.20  2506559.0
2016-01-20  36.68  37.26  2469088.0
2016-01-21  37.35  37.23  2298372.0
2016-01-22  37.91  37.98  1834467.0
2016-01-25  37.40  37.61  1831240.0
2016-01-26  37.89  37.51  1755032.0
2016-01-27  37.39  37.05  1479446.0
2016-01-28  37.27  36.11  3479452.0
2016-01-29  36.44  37.65  2959863.0
2016-02-01  37.37  37.69  2666567.0
2016-02-02  37.18  37.07  1742325.0
2016-02-03  37.27  37.19  2128426.0
2016-02-04  37.15  37.42  2833492.0
2016-02-05  37.26  36.04  4424609.0
2016-02-08  35.61  34.80  3888601.0
2016-02-09  34.21  35.37  3464464.0
2016-02-10  35.63  35.85  3169951.0
2016-02-11  35.12  35.33  3224004.0
2016-02-12  35.84  36.22  3923627.0
2016-02-16  36.72  37.08  2903649.0
2016-02-17  35.22  37.87  5382312.0
2016-02-18  37.73  37.19  2231481.0
2016-02-19  36.98  37.44  2339426.0
2016-02-22  37.88  38.03  1792962.0
2016-02-23  37.64  37.17  1282290.0
2016-02-24  36.65  37.48  1454952.0
2016-02-25  37.62  37.63  1453515.0
2016-02-26  37.75  37.59   944266.0
2016-02-29  37.59  37.35  2187405.0
2016-03-01  37.63  38.59  2760200.0
2016-03-02  38.49  39.04  3612508.0
2016-03-03  38.92  39.20   946823.0
2016-03-04  39.14  39.34  1124968.0
2016-03-07  39.04  39.43  1221574.0
2016-03-08  38.97  38.09  1796466.0
2016-03-09  38.31  38.13  1614633.0
2016-03-10  38.17  37.98  1614998.0
2016-03-11  38.43  39.23  1517348.0
2016-03-14  38.98  39.02   929638.0
2016-03-15  38.59  38.29  1059439.0
2016-03-16  38.09  38.98  1956125.0
2016-03-17  39.06  39.29  1895669.0
2016-03-18  39.33  40.19  2504361.0
2016-03-21  40.07  39.65  2172615.0
2016-03-22  39.56  39.88  1552312.0
2016-03-23  39.90  39.47  1554822.0
2016-03-24  39.16  39.43   993627.0
2016-03-28  39.54  39.52  1272724.0
2016-03-29  39.35  40.16  1091198.0
2016-03-30  40.36  40.12   783495.0
2016-03-31  40.01  39.85  3143468.0
2016-04-01  39.56  40.31  2857844.0
2016-04-04  40.32  40.01  2958061.0
2016-04-05  39.73  39.26  1900659.0
2016-04-06  39.29  40.24  1566612.0
2016-04-07  39.89  39.47  1373839.0
2016-04-08  39.69  39.54  1106293.0
2016-04-11  39.86  39.41  1049336.0
2016-04-12  39.47  39.75   992495.0
2016-04-13  39.52  40.69  2495340.0
2016-04-14  40.86  40.78  1347753.0
2016-04-15  40.77  40.91  1442264.0
2016-04-18  40.72  41.31  1536678.0
2016-04-19  41.18  41.40  1640774.0
2016-04-20  41.42  41.52  1243893.0
2016-04-21  41.50  41.93  1670389.0
2016-04-22  41.98  41.80  1396272.0
2016-04-25  41.71  41.63  1500449.0
2016-04-26  41.82  41.32  1868970.0
2016-04-27  41.35  41.58  1189462.0
