date   open   close      volume
                                    
2016-01-04   9.95   9.800   1932006.0
2016-01-05   9.85   9.810    988828.0
2016-01-06   9.67   9.690   1053383.0
2016-01-07   9.50   9.560    891137.0
2016-01-08   9.57   9.130    755960.0
2016-01-11   9.13   8.840    952912.0
2016-01-12   8.99   8.980    934590.0
2016-01-13   9.05   8.700    736586.0
2016-01-14   8.74   8.420   1338094.0
2016-01-15   8.15   8.730   1059603.0
2016-01-19   8.80   8.430   1003397.0
2016-01-20   8.32   9.000   1406061.0
2016-01-21   8.96   8.840    926921.0
2016-01-22   8.97   8.810    975555.0
2016-01-25   8.76   8.800    658815.0
2016-01-26   8.89   8.950    635228.0
2016-01-27   8.92   8.690    532508.0
2016-01-28   8.81   8.910    619892.0
2016-01-29   8.96   9.210    936200.0
2016-02-01   9.16   9.370    845107.0
2016-02-02   9.32   9.060    442058.0
2016-02-03   9.12   9.130    637042.0
2016-02-04   9.10   8.950    841334.0
2016-02-05   8.87   8.600    558289.0
2016-02-08   8.50   9.270   1945658.0
2016-02-09   9.17   9.210    686495.0
2016-02-10   9.26   9.150    573438.0
2016-02-11   9.06   8.770    590679.0
2016-02-12   8.86   9.140    867963.0
2016-02-16   9.24   9.340    477115.0
2016-02-17   9.46   9.620    705037.0
2016-02-18   9.67   9.650    586592.0
2016-02-19   9.62   9.340    757891.0
2016-02-22   9.36   9.390    808691.0
2016-02-23   9.40   9.260   1215890.0
2016-02-24   9.09   9.550    848805.0
2016-02-25   9.60   9.860    718144.0
2016-02-26   9.90   9.770    723596.0
2016-02-29   9.74   9.790    884004.0
2016-03-01   9.33   9.140   4013606.0
2016-03-02   9.04   9.850   2262008.0
2016-03-03   9.78  10.030   1230265.0
2016-03-04   9.99   9.900    806549.0
2016-03-07   9.81   9.990    716907.0
2016-03-08   9.97   9.430    884168.0
2016-03-09   9.45   9.230    530519.0
2016-03-10   9.27   8.900    923734.0
2016-03-11   9.02   9.680    860582.0
2016-03-14   9.81   9.770    658907.0
2016-03-15   9.71   9.650    545128.0
2016-03-16   9.64   9.540    511953.0
2016-03-17   9.52   9.820    596190.0
2016-03-18   9.88  10.030    993765.0
2016-03-21   9.96   9.820    488878.0
2016-03-22   9.80   9.700    467223.0
2016-03-23   9.65   9.330    517961.0
2016-03-24   9.31   9.210    595591.0
2016-03-28   9.21   8.830   1120320.0
2016-03-29   8.84   9.510   1757988.0
2016-03-30   9.51   9.190    571338.0
2016-03-31   9.24   9.620   1231738.0
2016-04-01   9.55   9.400    696000.0
2016-04-04   9.36   9.170    597592.0
2016-04-05   9.10   9.180    594537.0
2016-04-06   9.19   9.010    628972.0
2016-04-07   9.01   8.910    435376.0
2016-04-08   8.93   8.740    695752.0
2016-04-11   8.76   8.680    443006.0
2016-04-12   8.69   8.780    443936.0
2016-04-13   9.10   9.050    652607.0
2016-04-14   9.25   9.740    990990.0
2016-04-15   9.74   9.660    749678.0
2016-04-18   9.68   9.830    409369.0
2016-04-19   9.81   9.890    435307.0
2016-04-20   9.94   9.820    500416.0
2016-04-21   9.90   9.670    438161.0
2016-04-22   9.72   9.830    659963.0
2016-04-25   9.77   9.740    344203.0
2016-04-26   9.73   9.840    324553.0
2016-04-27   9.58   8.780   2449096.0
2016-04-28   8.76   8.650    890588.0
2016-04-29   8.61   8.350    755400.0
2016-05-02   8.41   8.420    725611.0
2016-05-03   8.40   8.360    703145.0
2016-05-04   8.33   8.140    692385.0
2016-05-05   8.14   8.040    478837.0
2016-05-06   7.98   8.060   1005077.0
2016-05-09   8.06   7.730   2015143.0
2016-05-10   8.48  10.260  10064477.0
2016-05-11  10.24   9.550   3014584.0
2016-05-12   9.51   9.360   1346592.0
2016-05-13   9.36   9.210   1040683.0
2016-05-16   9.15   9.310    639746.0
