date   open   close      volume
                                    
2016-01-04  36.03  36.270   4653163.0
2016-01-05  36.50  36.330   3092673.0
2016-01-06  35.65  34.750   4120910.0
2016-01-07  34.05  34.540   5974801.0
2016-01-08  34.38  32.540   9802283.0
2016-01-11  33.12  31.350   7835025.0
2016-01-12  31.72  31.570   6089973.0
2016-01-13  31.59  31.070   4733959.0
2016-01-14  31.19  32.110   5229934.0
2016-01-15  30.48  30.890   8660078.0
2016-01-19  31.46  29.830   5466911.0
2016-01-20  29.19  29.220   6750525.0
2016-01-21  29.45  27.560  10447097.0
2016-01-22  28.24  27.930   8350589.0
2016-01-25  27.61  26.400   6461757.0
2016-01-26  26.50  27.740   5956766.0
2016-01-27  27.40  26.970   4982523.0
2016-01-28  27.17  26.755   8695489.0
2016-01-29  29.02  29.050  12430968.0
2016-02-01  29.06  30.410   7997413.0
2016-02-02  29.71  28.610   6713418.0
2016-02-03  30.18  30.520   9232946.0
2016-02-04  30.57  32.190  11677257.0
2016-02-05  31.34  31.590   7819035.0
2016-02-08  30.91  30.360   4843070.0
2016-02-09  29.97  29.410   5722036.0
2016-02-10  29.73  30.190   5512398.0
2016-02-11  29.48  29.030   5989364.0
2016-02-12  29.51  29.880   4263013.0
2016-02-16  30.18  31.330   4966436.0
2016-02-17  31.51  31.970   5097286.0
2016-02-18  31.83  33.110   5550176.0
2016-02-19  32.44  31.340   4411569.0
2016-02-22  31.98  32.230   4554540.0
2016-02-23  32.04  30.740   4239142.0
2016-02-24  30.37  31.080   4672602.0
2016-02-25  31.01  30.920   3040417.0
2016-02-26  31.32  31.690   3486365.0
2016-02-29  31.64  31.360   3555786.0
2016-03-01  31.80  33.230   6654074.0
2016-03-02  33.28  33.930   4881432.0
2016-03-03  33.74  34.750   4239905.0
2016-03-04  34.92  34.530   5198404.0
2016-03-07  34.23  35.480   5140266.0
2016-03-08  35.24  34.240   5705825.0
2016-03-09  34.36  34.210   4586116.0
2016-03-10  34.33  34.950   4281483.0
2016-03-11  35.66  36.170   3333055.0
2016-03-14  35.70  35.360   6751596.0
2016-03-15  35.35  34.620   3614508.0
2016-03-16  34.27  34.490   4212726.0
2016-03-17  34.68  34.930   4231929.0
2016-03-18  35.17  36.570  11672878.0
2016-03-21  36.36  36.540   2886796.0
2016-03-22  36.31  37.040   4086212.0
2016-03-23  36.72  34.800   4559847.0
2016-03-24  34.59  33.230   8569957.0
2016-03-28  33.66  33.540   3925239.0
2016-03-29  33.21  33.800   3537127.0
2016-03-30  34.03  34.170   3719870.0
2016-03-31  33.98  34.450   2741179.0
2016-04-01  33.90  33.690   4556119.0
2016-04-04  33.67  33.550   2313276.0
2016-04-05  33.27  32.860   3464262.0
2016-04-06  32.86  33.720   3525959.0
2016-04-07  33.30  33.110   3182953.0
2016-04-08  33.39  33.230   2972935.0
2016-04-11  34.35  34.980   7545207.0
2016-04-12  34.94  35.040   4681494.0
2016-04-13  34.73  33.930   7300240.0
2016-04-14  29.67  27.110  48458893.0
2016-04-15  26.97  25.590  19415584.0
2016-04-18  25.51  25.780  10781341.0
2016-04-19  25.84  25.330   8957061.0
2016-04-20  25.43  25.670   8669477.0
2016-04-21  25.74  25.430   8587531.0
2016-04-22  25.48  25.320   7220696.0
2016-04-25  25.33  26.290   7857818.0
2016-04-26  26.54  27.000   7447623.0
2016-04-27  27.00  27.340   7210194.0
2016-04-28  27.14  26.900   7380376.0
2016-04-29  26.17  21.770  24443229.0
2016-05-02  21.14  20.480  18806328.0
2016-05-03  20.38  19.440  13705544.0
2016-05-04  19.81  20.150  11708656.0
2016-05-05  20.20  20.010   7901683.0
2016-05-06  19.34  19.070   8456851.0
2016-05-09  19.12  18.860   8927236.0
2016-05-10  18.75  19.250   6100978.0
2016-05-11  19.20  18.720   5394182.0
2016-05-12  18.86  18.790  10122373.0
2016-05-13  18.72  19.090   6507449.0
2016-05-16  19.08  19.160   7248818.0
2016-05-17  19.03  19.635   7165853.0
2016-05-18  19.58  20.240   7862382.0
2016-05-19  20.15  20.520   8915783.0
2016-05-20  20.54  20.410   7198506.0
2016-05-23  20.65  20.800   4304164.0
2016-05-24  21.07  20.880   4871529.0
2016-05-25  21.22  21.480   6824290.0
2016-05-26  21.43  21.550   5244304.0
2016-05-27  21.52  21.660   4165899.0
2016-05-31  21.79  22.560   8221701.0
2016-06-01  22.29  23.010   6727601.0
2016-06-02  23.25  23.750   8292347.0
2016-06-03  23.68  23.640   7702280.0
2016-06-06  23.59  23.890   4050709.0
2016-06-07  23.96  24.650   5741136.0
2016-06-08  24.75  24.250   7107775.0
2016-06-09  24.07  24.140   6315259.0
2016-06-10  23.79  23.140   5599269.0
2016-06-13  23.11  22.680   5400295.0
2016-06-14  22.54  22.760   4012295.0
2016-06-15  22.92  22.715   4369937.0
2016-06-16  22.61  22.690   4273259.0
2016-06-17  22.81  23.220   7652428.0
2016-06-20  23.53  23.430   4353930.0
2016-06-21  23.38  23.860   3550523.0
2016-06-22  23.86  23.870   3949339.0
2016-06-23  24.16  24.480   4714601.0
2016-06-24  23.41  23.160   6496845.0
2016-06-27  23.00  20.870   6675247.0
2016-06-28  21.48  22.530   6165136.0
2016-06-29  23.24  23.950   8996995.0
2016-06-30  23.80  24.360   8335366.0
2016-07-01  24.21  24.030   4944421.0
2016-07-05  23.78  23.160   3784992.0
2016-07-06  22.35  23.520   6386761.0
2016-07-07  24.02  23.730   7494165.0
2016-07-08  24.20  24.010   6370427.0
2016-07-11  24.14  24.090   5236863.0
2016-07-12  27.48  29.350  29492343.0
2016-07-13  29.35  29.830  10546628.0
2016-07-14  30.03  29.190   7786522.0
2016-07-15  29.40  28.900   6444387.0
2016-07-18  29.20  30.150   7112983.0
2016-07-19  30.35  29.990   3351584.0
2016-07-20  30.03  30.500   3760916.0
2016-07-21  30.48  31.220   7436719.0
2016-07-22  31.38  31.580   4602621.0
2016-07-25  31.62  31.440   4319300.0
2016-07-26  31.28  32.450   4435535.0
2016-07-27  32.53  32.050   4490376.0
2016-07-28  32.07  32.600   4133094.0
2016-07-29  32.09  32.030   6415998.0
2016-08-01  32.00  32.430   7349615.0
2016-08-02  33.30  30.650  14366976.0
