date    open     close      volume
                                       
2016-01-04  182.67  181.8100   1196625.0
2016-01-05  182.57  182.6700    567952.0
2016-01-06  180.39  183.2100    870706.0
2016-01-07  179.80  182.9800   1034469.0
2016-01-08  184.80  182.1700    847551.0
2016-01-11  182.64  182.0000    560657.0
2016-01-12  182.81  185.6200    675419.0
2016-01-13  186.00  179.0900    877918.0
2016-01-14  179.09  177.8800   1606655.0
2016-01-15  173.20  170.4500   1658360.0
2016-01-19  171.98  175.3100   1041246.0
2016-01-20  173.30  174.2600   1557148.0
2016-01-21  174.50  176.5000   1213337.0
2016-01-22  177.95  179.7300   1041381.0
2016-01-25  178.50  175.6600    873665.0
2016-01-26  176.58  179.1300    815474.0
2016-01-27  178.83  173.9300    812806.0
2016-01-28  175.83  174.3400    763730.0
2016-01-29  175.34  181.1700   1054480.0
2016-02-01  179.92  180.5700    748074.0
2016-02-02  179.74  177.0300    650474.0
2016-02-03  180.50  173.4600   1069201.0
2016-02-04  173.55  168.8800   1295530.0
2016-02-05  168.75  159.7100   2367486.0
2016-02-08  156.76  155.3400   1885527.0
2016-02-09  152.00  151.9800   1785503.0
2016-02-10  152.79  153.8400   1439537.0
2016-02-11  152.54  153.3100   1200733.0
2016-02-12  156.24  158.4900   1066781.0
2016-02-16  160.61  159.0200    971400.0
2016-02-17  160.51  158.9200   1443793.0
2016-02-18  155.33  154.5500   3673523.0
2016-02-19  153.16  150.0700   2825554.0
2016-02-22  151.00  156.2700   1571990.0
2016-02-23  156.63  159.1700   1924192.0
2016-02-24  156.52  160.7500   1247979.0
2016-02-25  161.52  164.2500   1408134.0
2016-02-26  165.57  164.7500   1205134.0
2016-02-29  165.00  165.1900   1183070.0
2016-03-01  165.86  168.4100   1053590.0
2016-03-02  168.21  168.3200    776315.0
2016-03-03  167.41  169.3800   1124432.0
2016-03-04  169.96  168.9700    628748.0
2016-03-07  168.57  164.6400   1238029.0
2016-03-08  164.34  162.9600   1571546.0
2016-03-09  164.70  159.0100   2445401.0
2016-03-10  159.56  163.3900   3753301.0
2016-03-11  186.60  191.6200   6130719.0
2016-03-14  189.52  190.0200   1700095.0
2016-03-15  189.02  187.8700   1185158.0
2016-03-16  187.10  190.0200    936721.0
2016-03-17  189.44  188.0100   1029297.0
2016-03-18  188.32  191.3900   1096111.0
2016-03-21  190.88  192.3500   1037799.0
2016-03-22  190.44  191.6500    881850.0
2016-03-23  191.22  191.5700    527300.0
2016-03-24  191.40  191.7600    621177.0
2016-03-28  191.84  191.9100    475792.0
2016-03-29  192.55  193.3700    541910.0
2016-03-30  194.87  194.1100    613695.0
2016-03-31  193.87  193.7400    737320.0
2016-04-01  192.62  194.1800    507177.0
2016-04-04  194.68  193.1200    583739.0
2016-04-05  192.27  193.7500    765272.0
2016-04-06  193.91  194.6700    657665.0
2016-04-07  194.12  194.1200    866982.0
2016-04-08  201.94  200.5100   3611916.0
2016-04-11  201.51  202.1000   1598833.0
2016-04-12  203.50  203.9400   1190993.0
2016-04-13  205.44  207.4200   1116392.0
2016-04-14  207.72  205.6700   1365074.0
2016-04-15  206.34  204.0600  11411000.0
2016-04-18  203.93  206.9100   1112765.0
2016-04-19  206.20  204.0400   1162031.0
2016-04-20  203.98  204.4200    883403.0
2016-04-21  204.62  205.8600    855314.0
2016-04-22  205.42  205.3900    995261.0
2016-04-25  205.08  207.3700    959953.0
2016-04-26  207.04  208.1300   1126817.0
2016-04-27  207.32  212.5200   1388255.0
2016-04-28  211.51  206.9900    891509.0
