date    open  close      volume
                                    
2016-01-04  87.730  87.95   1675480.0
2016-01-05  88.380  89.68   2366714.0
2016-01-06  87.940  87.24   2324917.0
2016-01-07  85.960  85.00   2502556.0
2016-01-08  85.360  83.86   1777331.0
2016-01-11  82.310  79.27   5879469.0
2016-01-12  81.270  79.89   3727387.0
2016-01-13  79.990  78.17   2884243.0
2016-01-14  78.300  81.78   3642023.0
2016-01-15  80.000  81.24   3844695.0
2016-01-19  82.200  81.58   2561175.0
2016-01-20  80.320  80.28   3022941.0
2016-01-21  80.320  80.08   2161351.0
2016-01-22  81.390  81.59   1539383.0
2016-01-25  81.730  81.20   2113281.0
2016-01-26  81.500  82.71   1893401.0
2016-01-27  82.640  81.75   1922656.0
2016-01-28  82.320  79.00   3530235.0
2016-01-29  79.730  81.37   3718992.0
2016-02-01  76.500  79.80   4195542.0
2016-02-02  79.460  77.73   2818621.0
2016-02-03  78.430  77.33   2327210.0
2016-02-04  76.890  76.60   2546528.0
2016-02-05  76.260  76.61   2918794.0
2016-02-08  75.960  76.16   2527517.0
2016-02-09  75.390  76.65   2653787.0
2016-02-10  76.840  78.22   2187742.0
2016-02-11  76.700  77.12   2786893.0
2016-02-12  77.600  78.85   2168252.0
2016-02-16  79.560  79.77   2382061.0
2016-02-17  79.760  80.98   1716713.0
2016-02-18  81.130  81.00   1800970.0
2016-02-19  81.040  80.83   2446775.0
2016-02-22  81.280  81.46   1283437.0
2016-02-23  81.210  81.20   2273677.0
2016-02-24  80.340  82.14   1877466.0
2016-02-25  82.230  82.67   1315641.0
2016-02-26  83.000  83.03   1225061.0
2016-02-29  82.750  81.70   1776498.0
2016-03-01  82.520  82.88   1817029.0
2016-03-02  82.580  83.16   1956960.0
2016-03-03  82.800  83.61   1353712.0
2016-03-04  83.410  83.51   1101276.0
2016-03-07  84.010  84.15   1285334.0
2016-03-08  83.480  82.71   1473001.0
2016-03-09  83.130  83.18   1334675.0
2016-03-10  83.650  82.32   1831747.0
2016-03-11  83.080  83.88   1581500.0
2016-03-14  84.000  83.61   1287402.0
2016-03-15  82.400  80.43   2859587.0
2016-03-16  80.300  81.10   1859384.0
2016-03-17  81.160  79.74   2304882.0
2016-03-18  80.070  80.86   2442077.0
2016-03-21  80.940  80.85   1592851.0
2016-03-22  80.800  81.16   1434725.0
2016-03-23  81.350  81.28   1731205.0
2016-03-24  80.915  81.48   1729107.0
