date   open  close     volume
                                  
2016-01-04  76.60  75.79   667025.0
2016-01-05  76.12  77.20   481880.0
2016-01-06  76.89  76.93   753172.0
2016-01-07  75.73  75.90   609756.0
2016-01-08  76.10  74.59   346802.0
2016-01-11  74.65  74.99   532634.0
2016-01-12  75.48  74.60   519095.0
2016-01-13  74.75  73.81   426646.0
2016-01-14  74.19  73.16   609530.0
2016-01-15  72.03  72.24   832521.0
2016-01-19  72.77  73.31   692988.0
2016-01-20  73.12  70.55   589070.0
2016-01-21  71.05  70.59   615633.0
2016-01-22  71.30  72.15   434060.0
2016-01-25  71.93  71.65   668148.0
2016-01-26  71.77  73.78   634144.0
2016-01-27  73.44  73.68   998053.0
2016-01-28  73.43  73.72   838161.0
2016-01-29  73.34  76.30  1376492.0
2016-02-01  75.57  76.24  1051019.0
2016-02-02  76.13  75.59   550381.0
2016-02-03  75.96  76.59   865643.0
2016-02-04  76.23  77.23   665418.0
2016-02-05  77.14  73.93   790688.0
2016-02-08  73.91  72.63   877363.0
2016-02-09  71.83  72.65   778269.0
2016-02-10  72.95  72.62   535784.0
2016-02-11  71.61  71.39   537503.0
2016-02-12  71.88  71.71   539602.0
2016-02-16  72.34  73.58   499092.0
2016-02-17  73.93  73.41   511331.0
2016-02-18  73.41  73.68   493704.0
2016-02-19  73.28  73.84   303758.0
2016-02-22  74.36  74.53   371076.0
2016-02-23  74.45  74.33   385579.0
2016-02-24  73.98  73.83   333817.0
2016-02-25  74.12  74.26   652561.0
2016-02-26  74.21  74.28   399449.0
2016-02-29  74.31  74.74   749476.0
2016-03-01  75.21  76.76   487361.0
2016-03-02  76.71  78.43   452710.0
2016-03-03  78.48  79.22   344068.0
2016-03-04  78.95  79.14   407924.0
2016-03-07  78.69  79.06   326260.0
2016-03-08  79.22  79.05   368295.0
2016-03-09  79.04  79.22   294382.0
2016-03-10  79.68  78.75   307371.0
2016-03-11  79.53  79.19   566395.0
2016-03-14  79.37  79.36   478253.0
2016-03-15  78.88  79.75   374244.0
2016-03-16  79.59  80.18   628873.0
2016-03-17  80.42  81.92   473643.0
2016-03-18  81.91  82.37  1031127.0
2016-03-21  82.31  81.73   482083.0
2016-03-22  81.40  82.10   633145.0
2016-03-23  82.08  82.02   745446.0
2016-03-24  81.55  81.55   589530.0
2016-03-28  81.55  82.27   611321.0
2016-03-29  81.69  83.50  1072396.0
2016-03-30  83.54  83.52   463480.0
2016-03-31  82.79  84.09   878947.0
2016-04-01  83.59  83.83   737869.0
2016-04-04  84.00  84.07   493827.0
2016-04-05  83.45  82.97   517391.0
2016-04-06  82.88  83.42   611404.0
2016-04-07  83.06  82.68   711352.0
2016-04-08  83.13  82.90   688618.0
2016-04-11  83.07  82.33   428233.0
2016-04-12  82.30  82.51   297379.0
2016-04-13  82.86  81.90   555431.0
2016-04-14  81.68  80.08   744283.0
2016-04-15  79.97  81.82   871992.0
2016-04-18  81.73  82.17   504905.0
2016-04-19  82.26  82.21   775104.0
2016-04-20  82.08  80.76   558576.0
2016-04-21  80.76  80.11   536102.0
2016-04-22  80.49  81.32   569334.0
2016-04-25  81.13  82.57   664645.0
2016-04-26  82.63  82.64   543504.0
2016-04-27  82.35  82.04   623471.0
2016-04-28  81.51  82.27   606882.0
2016-04-29  81.14  80.73  1094607.0
2016-05-02  80.85  82.30   464430.0
2016-05-03  81.83  81.68   508814.0
2016-05-04  81.08  83.24   518597.0
2016-05-05  83.18  84.05   544681.0
2016-05-06  84.17  85.67   778150.0
2016-05-09  85.27  86.13   783338.0
2016-05-10  86.18  86.46   658041.0
2016-05-11  86.40  85.57   949660.0
2016-05-12  85.53  86.63   870190.0
2016-05-13  86.19  85.95   750651.0
2016-05-16  85.91  86.80   558436.0
2016-05-17  86.59  85.80  1060509.0
2016-05-18  85.67  85.32  1165753.0
2016-05-19  84.66  83.63   537970.0
2016-05-20  84.10  84.51   462237.0
2016-05-23  84.92  84.17   334504.0
2016-05-24  84.74  85.04  1048983.0
2016-05-25  85.03  84.67   407879.0
2016-05-26  84.82  84.89   397526.0
2016-05-27  84.96  85.23   321279.0
2016-05-31  85.35  85.21   504826.0
2016-06-01  84.54  84.10   738212.0
2016-06-02  83.67  83.99   803789.0
2016-06-03  84.41  82.06   709283.0
2016-06-06  82.11  80.34   756456.0
2016-06-07  80.56  81.13   571665.0
2016-06-08  80.91  80.56   433459.0
2016-06-09  80.50  80.81   489950.0
2016-06-10  80.23  80.81   435918.0
2016-06-13  81.03  81.61   643533.0
2016-06-14  81.68  81.84   610353.0
2016-06-15  82.04  83.20   653945.0
2016-06-16  83.06  83.82   488818.0
2016-06-17  83.57  82.95  1128563.0
2016-06-20  83.63  83.44   475040.0
2016-06-21  83.55  83.43   515810.0
2016-06-22  83.76  84.23   677200.0
2016-06-23  84.69  85.05   620268.0
2016-06-24  83.43  84.49   646777.0
2016-06-27  84.09  85.32   699955.0
2016-06-28  84.99  85.76   632857.0
2016-06-29  86.38  87.20   394830.0
2016-06-30  87.25  88.42   589869.0
2016-07-01  88.80  88.81   586106.0
2016-07-05  88.88  89.84   499144.0
2016-07-06  89.70  89.99   588565.0
2016-07-07  89.89  89.75   699130.0
2016-07-08  90.58  90.16   473693.0
2016-07-11  90.56  90.29   264209.0
2016-07-12  90.15  89.91   509423.0
2016-07-13  90.26  90.14   435273.0
2016-07-14  90.18  88.38   521879.0
2016-07-15  88.34  87.67   639891.0
2016-07-18  87.89  87.92   343456.0
2016-07-19  87.81  88.68   478139.0
2016-07-20  88.54  88.89   441218.0
2016-07-21  88.64  89.55   677458.0
2016-07-22  89.58  89.58   526942.0
2016-07-25  89.64  89.19   435908.0
2016-07-26  89.18  87.98   445310.0
2016-07-27  87.56  86.36   510323.0
2016-07-28  86.36  86.81   611318.0
2016-07-29  86.80  89.59   951079.0
2016-08-01  89.37  89.57   487193.0
2016-08-02  89.21  87.84   494914.0
2016-08-03  87.94  86.99   461189.0
2016-08-04  87.22  86.11   587161.0
2016-08-05  86.25  86.23   395096.0
2016-08-08  86.46  87.17   362460.0
2016-08-09  87.28  87.45   256298.0
2016-08-10  87.06  86.64   365371.0
2016-08-11  86.72  85.97   425121.0
2016-08-12  85.97  86.71   436658.0
2016-08-15  87.82  88.48  1266577.0
2016-08-16  88.02  86.60   896141.0
2016-08-17  86.82  86.99   432630.0
2016-08-18  86.80  86.91   514878.0
2016-08-19  86.76  86.37   416355.0
2016-08-22  86.38  86.62   511168.0
2016-08-23  86.85  86.62   269996.0
2016-08-24  86.69  85.83   241482.0
2016-08-25  85.59  86.60   371866.0
2016-08-26  86.65  86.18   733680.0
2016-08-29  86.31  87.20   367181.0
2016-08-30  87.42  87.26   390982.0
2016-08-31  87.17  87.77   825925.0
2016-09-01  87.60  88.94   668952.0
2016-09-02  89.40  89.59   895599.0
