date   open   close     volume
                                   
2016-01-04   4.93   4.850   583852.0
2016-01-05   4.88   4.870   496004.0
2016-01-06   4.79   4.730   700743.0
2016-01-07   4.63   4.600   922841.0
2016-01-08   4.53   4.040  1822721.0
2016-01-11   4.03   3.650   985578.0
2016-01-12   3.65   3.390   933438.0
2016-01-13   3.44   3.260   966308.0
2016-01-14   3.27   3.380   831755.0
2016-01-15   3.40   3.400   920837.0
2016-01-19   3.50   3.070  1151120.0
2016-01-20   3.02   3.160   945295.0
2016-01-21   3.15   3.290   514043.0
2016-01-22   3.34   3.340   489995.0
2016-01-25   3.33   3.150   378719.0
2016-01-26   3.13   3.300   433071.0
2016-01-27   3.22   3.250   865887.0
2016-01-28   3.30   3.000   817323.0
2016-01-29   3.06   3.040  1100841.0
2016-02-01   3.03   3.120   445294.0
2016-02-02   3.08   2.980   499780.0
2016-02-03   2.99   2.960   651325.0
2016-02-04   2.94   3.070   549994.0
2016-02-05   3.08   3.120   637100.0
2016-02-08   3.03   2.890   504088.0
2016-02-09   2.70   2.650   680751.0
2016-02-10   2.80   2.610   375371.0
2016-02-11   2.59   2.490   449645.0
2016-02-12   2.50   2.480   591629.0
2016-02-16   2.51   2.650   734402.0
2016-02-17   2.73   2.880   710504.0
2016-02-18   2.90   2.820   376634.0
2016-02-19   2.76   2.920  1336255.0
2016-02-22   3.00   2.960   667375.0
2016-02-23   2.94   2.860   210848.0
2016-02-24   2.83   2.800   289452.0
2016-02-25   2.78   2.780   151638.0
2016-02-26   2.77   2.870   149059.0
2016-02-29   2.90   2.900   371960.0
2016-03-01   2.91   2.790   159679.0
2016-03-02   2.82   3.020   293082.0
2016-03-03   3.00   3.130   326297.0
2016-03-04   3.12   3.130   285717.0
2016-03-07   3.10   3.220   385985.0
2016-03-08   3.20   2.980   295365.0
2016-03-09   3.00   3.020   524483.0
2016-03-10   3.01   2.840   338018.0
2016-03-11   2.90   2.890   415534.0
2016-03-14   2.87   2.940   227543.0
2016-03-15   2.93   2.750   187647.0
2016-03-16   2.73   2.800   157422.0
2016-03-17   2.78   2.880   203523.0
2016-03-18   2.90   3.010  1863748.0
2016-03-21   2.97   2.960   257730.0
2016-03-22   2.92   2.970   213833.0
2016-03-23   2.95   2.820   257795.0
2016-03-24   2.83   2.980   404614.0
2016-03-28   2.96   3.040   276917.0
2016-03-29   3.00   2.990   327958.0
2016-03-30   3.01   3.020   262148.0
2016-03-31   3.00   2.970   466176.0
2016-04-01   2.95   2.980   270925.0
2016-04-04   3.01   3.200   872652.0
2016-04-05   3.20   3.140   312738.0
2016-04-06   3.13   3.400   491779.0
2016-04-07   3.40   4.030   989142.0
2016-04-08   3.93   3.840   697593.0
2016-04-11   3.83   3.700   447880.0
2016-04-12   3.70   3.680   631208.0
2016-04-13   3.71   4.000   832837.0
2016-04-14   4.02   4.030   427044.0
2016-04-15   3.99   4.130   258930.0
2016-04-18   4.09   4.280   634502.0
2016-04-19   4.35   4.400   567347.0
2016-04-20   4.45   4.550   659354.0
2016-04-21   4.58   4.510   437375.0
2016-04-22   4.56   4.820  1285333.0
2016-04-25   4.83   4.660   357738.0
2016-04-26   4.67   4.670   303490.0
2016-04-27   4.63   4.790   295878.0
2016-04-28   4.84   4.870  1328992.0
2016-04-29   4.88   4.950   689771.0
2016-05-02   5.02   4.980   354859.0
2016-05-03   4.90   4.870   340224.0
2016-05-04   4.80   4.840   256234.0
2016-05-05   4.87   4.640   250457.0
2016-05-06   4.63   4.860   447601.0
2016-05-09   4.87   4.760   357044.0
2016-05-10   4.59   5.430  2185700.0
2016-05-11   5.41   5.850  1474763.0
2016-05-12   5.89   5.560  1079591.0
2016-05-13   5.56   5.690   867235.0
2016-05-16   5.73   5.810   607575.0
2016-05-17   5.81   5.910   888282.0
2016-05-18   5.92   5.920   377200.0
2016-05-19   5.88   6.030   415586.0
2016-05-20   6.09   6.270   798733.0
2016-05-23   6.27   6.570   710960.0
2016-05-24   6.67   6.700   814468.0
2016-05-25   6.81   6.730   973816.0
2016-05-26   6.76   6.580   543833.0
2016-05-27   6.60   6.650   318598.0
2016-05-31   6.84   6.780   508365.0
2016-06-01   6.68   6.780   533632.0
2016-06-02   6.58   6.850   459571.0
2016-06-03   6.84   6.770   521929.0
2016-06-06   6.79   7.130  1206028.0
2016-06-07   7.13   7.070   471338.0
2016-06-08   7.10   6.960   373962.0
2016-06-09   6.97   6.690   392444.0
2016-06-10   6.68   6.590   264198.0
2016-06-13   6.53   6.510   229894.0
2016-06-14   6.50   6.340   300249.0
2016-06-15   6.42   6.390   419230.0
2016-06-16   6.30   6.580   543257.0
2016-06-17   6.59   6.850   682102.0
2016-06-20   6.95   7.160   439313.0
2016-06-21   6.99   7.210   367127.0
2016-06-22   7.20   6.990   558095.0
2016-06-23   7.11   7.480   620503.0
2016-06-24   7.10   7.500  1130358.0
2016-06-27   7.45   6.850   680268.0
2016-06-28   6.78   7.010   399241.0
2016-06-29   7.12   7.340   499598.0
2016-06-30   7.39   7.560   598379.0
2016-07-01   7.52   7.600   440006.0
2016-07-05   7.61   7.400   505138.0
2016-07-06   7.34   7.640   633414.0
2016-07-07   8.83   8.900  2281495.0
2016-07-08   8.88   8.970  1648820.0
2016-07-11   9.00   9.240   761757.0
2016-07-12   9.38   9.660   823960.0
2016-07-13   9.75   9.440   698154.0
2016-07-14   9.52   9.500   811547.0
2016-07-15   9.60   9.800   831377.0
2016-07-18   9.76   9.640   397424.0
2016-07-19   9.52   9.570   567548.0
2016-07-20   9.63   9.320   451468.0
2016-07-21   9.38   9.150   452474.0
2016-07-22   9.11   9.270   418241.0
2016-07-25   9.23   9.050   247749.0
2016-07-26   9.07   9.150   378302.0
2016-07-27   9.15   9.250   283633.0
2016-07-28   9.12   9.120   229212.0
2016-07-29   8.93   9.060   276618.0
2016-08-01   9.08   9.040   231210.0
2016-08-02   9.06   9.090   289079.0
2016-08-03   9.08   9.290   759250.0
2016-08-04   9.40   9.270   437937.0
2016-08-05   9.30   9.270   385701.0
2016-08-08   9.32   9.360   252424.0
2016-08-09   9.23   9.300   352681.0
2016-08-10   9.28   9.160   608185.0
2016-08-11   9.26   9.200   391648.0
2016-08-12   9.19   9.060   584016.0
2016-08-15   9.07   9.640   632747.0
2016-08-16   9.59   9.300   397601.0
2016-08-17   9.67   9.960   987405.0
2016-08-18   9.99  10.080   644257.0
2016-08-19  10.04  10.150   341672.0
2016-08-22  10.14  10.310   262662.0
2016-08-23  10.36  10.340   439489.0
2016-08-24  10.30   9.920   323118.0
2016-08-25   9.92  10.100   277762.0
2016-08-26  10.14   9.970   252018.0
2016-08-29  10.01  10.160   259858.0
2016-08-30  10.13  10.280   295905.0
2016-08-31  10.32  10.350   675038.0
2016-09-01  10.34  10.170   331677.0
2016-09-02  10.17  10.540   406502.0
2016-09-06  10.48  10.490   393153.0
2016-09-07  10.49  10.470   533944.0
2016-09-08  10.51  10.380   314581.0
2016-09-09  10.30   9.850   557178.0
2016-09-12   9.70  10.270   493537.0
2016-09-13  10.19   9.970   626011.0
2016-09-14  10.01   9.870   478783.0
2016-09-15   9.91  10.210   517553.0
2016-09-16  10.23  10.060   692571.0
2016-09-19  10.14  10.020   634988.0
2016-09-20  10.12   9.980   350702.0
2016-09-21  10.03   9.990   366435.0
2016-09-22  10.06   9.900   643679.0
2016-09-23   9.90  10.120   472919.0
2016-09-26  10.02   9.940   412181.0
2016-09-27   9.90   9.830   352561.0
2016-09-28   9.89  10.350   914755.0
2016-09-29  10.38  10.800  1052766.0
2016-09-30  10.95  11.060  1083019.0
2016-10-03  11.09  11.140   561238.0
2016-10-04  11.09  10.740   390317.0
2016-10-05  10.87  10.850   338937.0
2016-10-06  10.79  10.560   220757.0
2016-10-07  10.54  10.460   476714.0
2016-10-10  10.57  10.650   213291.0
2016-10-11  10.60  10.610   256844.0
2016-10-12  10.62  10.930   352123.0
2016-10-13  10.93  10.930   384119.0
2016-10-14  10.97  10.900   273615.0
2016-10-17  10.86  10.800   189421.0
2016-10-18  10.95  10.890   341539.0
2016-10-19  10.96  10.920   157875.0
2016-10-20  10.81  10.950   186398.0
2016-10-21  10.81  10.860   158806.0
2016-10-24  10.91  10.820   225091.0
2016-10-25  10.82  10.650   566523.0
2016-10-26  10.55  10.430   690113.0
2016-10-27  10.57  10.220   672667.0
2016-10-28  10.26   9.990   475042.0
2016-10-31   9.95   9.750   608203.0
2016-11-01   9.85   9.750   304810.0
2016-11-02   9.65   9.650   345156.0
2016-11-03   9.65   9.550   185008.0
2016-11-04   9.60   9.600   203993.0
2016-11-07   9.80   9.800   497734.0
2016-11-08   9.75   9.600   250639.0
2016-11-09   9.60  10.000   418049.0
2016-11-10  10.10  10.550   772159.0
2016-11-11  10.50  10.950   795744.0
2016-11-14  11.20  11.100   582672.0
2016-11-15  11.10  11.150   560324.0
2016-11-16  11.15  11.100   344568.0
2016-11-17  11.20  11.000   315086.0
2016-11-18  11.05  11.250   339872.0
2016-11-21  11.90  11.350   322735.0
2016-11-22  11.35  11.600   260171.0
2016-11-23  11.60  11.650   377703.0
2016-11-25  11.65  11.450    84990.0
2016-11-28  11.45  11.250   244494.0
2016-11-29  11.35  11.200   349748.0
2016-11-30  11.20  11.650   469772.0
2016-12-01  11.75  11.600   347585.0
2016-12-02  11.65  11.300   310558.0
2016-12-05  11.50  11.350   310172.0
2016-12-06  11.45  11.750   425549.0
2016-12-07  11.65  11.800   374901.0
2016-12-08  11.30  11.750   656416.0
2016-12-09  11.85  11.750   620158.0
2016-12-12  11.35  10.950  1161671.0
2016-12-13  10.95  10.550   600516.0
2016-12-14  10.65  10.500   314692.0
2016-12-15  10.60  10.400   421230.0
2016-12-16  10.40  10.400  1495762.0
2016-12-19  10.40  10.300   512964.0
2016-12-20  10.25  10.600   184399.0
2016-12-21  10.55  10.650   125596.0
2016-12-22  10.65  10.500   145452.0
2016-12-23  10.50  10.600   103916.0
2016-12-27  10.60  10.900   123325.0
2016-12-28  10.90  10.750   260063.0
2016-12-29  10.80  10.900   174981.0
2016-12-30  10.90  10.650   300423.0
2017-01-03  10.80  10.650   321315.0
2017-01-04  10.70  10.950   375944.0
2017-01-05  10.80  10.700   398021.0
2017-01-06  10.70  10.600   104325.0
2017-01-09  10.50  10.350   202503.0
2017-01-10  10.30  10.650   260613.0
2017-01-11  10.60  10.600   232654.0
2017-01-12  10.35   9.800   929795.0
2017-01-13   9.80   9.800   325897.0
2017-01-17   9.75   9.600   371120.0
2017-01-18   9.70   9.800   434483.0
2017-01-19   9.80   9.500   297726.0
2017-01-20   9.55   9.650   240313.0
2017-01-23   9.60   9.700   210044.0
2017-01-24   9.70   9.950   309729.0
2017-01-25   9.95  10.050   189352.0
2017-01-26   9.95   9.800   356202.0
2017-01-27   9.75   9.700   243899.0
2017-01-30   9.55   9.600   249112.0
2017-01-31   9.60   9.900   422977.0
2017-02-01  10.00   9.950   321009.0
2017-02-02   9.95   9.900   322267.0
2017-02-03   9.10   9.750   416565.0
2017-02-06   9.75   9.500   426651.0
2017-02-07   9.55   9.300   358667.0
2017-02-08   9.30   9.250   310559.0
2017-02-09   9.20   9.250   346242.0
2017-02-10   9.35   9.550   199742.0
2017-02-13   9.50   9.200   282306.0
2017-02-14   9.15   9.100   231423.0
2017-02-15   9.10   9.150   256362.0
2017-02-16   9.20   9.050   484850.0
2017-02-17   9.05   9.150   298702.0
2017-02-21   9.05   9.050   258269.0
2017-02-22   9.00   9.000   212384.0
2017-02-23   8.95   9.000   300372.0
2017-02-24   8.90   8.950   182399.0
2017-02-27   8.90   9.050   194124.0
2017-02-28   9.00   8.800   504083.0
2017-03-01   8.90   9.150   223012.0
2017-03-02   9.10   9.000   168621.0
2017-03-03   9.00   9.000   267573.0
2017-03-06   8.90   8.750   319140.0
2017-03-07   8.70   8.550   267166.0
2017-03-08   8.55   8.450   388625.0
2017-03-09   8.50   8.400   333549.0
2017-03-10   8.40   8.350   418697.0
2017-03-13   8.30   8.250   314567.0
2017-03-14   8.25   8.200   375159.0
2017-03-15   8.20   8.000   614021.0
2017-03-16   8.05   8.150   457796.0
2017-03-17   8.10   8.100   943935.0
2017-03-20   8.10   8.200   322277.0
2017-03-21   8.30   8.050   265957.0
2017-03-22   8.00   7.900   301849.0
2017-03-23   7.90   8.150   272468.0
2017-03-24   8.10   7.950   319226.0
2017-03-27   7.85   8.000   234416.0
2017-03-28   7.95   8.050   273059.0
2017-03-29   8.00   8.350   272643.0
2017-03-30   8.35   8.050   231028.0
2017-03-31   8.05   8.150   527773.0
2017-04-03   8.15   8.150   342663.0
2017-04-04   8.15   8.100   264666.0
2017-04-05   8.15   7.850   527091.0
2017-04-06   7.80   7.850   477353.0
2017-04-07   8.10   8.350   555340.0
2017-04-10   8.35   8.650   452743.0
2017-04-11   8.65   8.700   357729.0
2017-04-12   8.70   8.550   344875.0
2017-04-13   8.55   8.450   201886.0
2017-04-17   8.50   8.450   204245.0
2017-04-18   8.45   8.700   273664.0
2017-04-19   8.80   8.700   235947.0
2017-04-20   8.75   8.850   286995.0
2017-04-21   8.85   8.800   176613.0
2017-04-24   9.00   9.200   356057.0
2017-04-25   9.25   9.450   255088.0
2017-04-26   9.40   9.350   265726.0
2017-04-27   9.40   9.300   163960.0
2017-04-28   9.30   9.050   167269.0
2017-05-01   9.10   8.900   188621.0
2017-05-02   8.95   8.950   177480.0
2017-05-03   8.85   8.650   331082.0
2017-05-04   8.90   8.800   600925.0
2017-05-05   8.80   9.000   255886.0
2017-05-08   9.00   8.900   228165.0
2017-05-09   8.95   8.850   237020.0
2017-05-10   8.75   8.800   232581.0
2017-05-11   8.80   8.750   220496.0
2017-05-12   8.70   8.700   237696.0
2017-05-15   8.65   8.550   202205.0
2017-05-16   8.55   8.650   197405.0
2017-05-17   8.45   8.400   301043.0
2017-05-18   8.40   8.450   446989.0
2017-05-19   8.45   8.500   217154.0
2017-05-22   8.50   8.500   223015.0
2017-05-23   8.55   8.650   117111.0
2017-05-24   8.60   8.450   232711.0
2017-05-25   8.50   8.650   257967.0
2017-05-26   8.60   8.700   268682.0
2017-05-30   8.65   8.500   236140.0
2017-05-31   8.55   8.500   244594.0
2017-06-01   8.50   8.650   263463.0
2017-06-02   8.55   8.950   359881.0
2017-06-05   8.90   8.650   198664.0
2017-06-06   8.55   8.600   147264.0
2017-06-07   8.60   8.700   268315.0
2017-06-08   8.75   9.050   331868.0
2017-06-09   9.10   9.300   395228.0
2017-06-12   9.30   9.200   186865.0
2017-06-13   9.30   9.050   175867.0
2017-06-14   9.10   9.050   206957.0
2017-06-15   9.00   8.950   152475.0
2017-06-16   8.85   9.050   395433.0
2017-06-19   9.05   9.000   267768.0
2017-06-20   9.00   8.950   171052.0
2017-06-21   8.90   8.750   324528.0
2017-06-22   8.80   9.000   140472.0
2017-06-23   8.95   9.100   311652.0
2017-06-26   9.10   9.150   144489.0
2017-06-27   9.20   9.100   234851.0
2017-06-28   8.30   7.700  3371075.0
2017-06-29   7.75   7.650  2351481.0
2017-06-30   7.60   7.700  3110542.0
2017-07-03   7.70   7.700   446477.0
2017-07-05   7.70   7.700  2219590.0
2017-07-06   7.70   7.850  1453896.0
2017-07-07   7.90   7.850   511168.0
2017-07-10   7.85   7.750   457877.0
2017-07-11   7.80   7.650   249823.0
2017-07-12   7.60   7.600   558044.0
2017-07-13   7.60   7.650   603655.0
2017-07-14   7.60   7.700   343861.0
2017-07-17   7.65   7.600   519496.0
2017-07-18   7.65   7.850   448227.0
2017-07-19   7.80   8.000   552524.0
2017-07-20   8.00   7.900   334194.0
2017-07-21   8.00   8.000   348826.0
2017-07-24   7.95   7.900   387346.0
2017-07-25   7.95   7.950   394413.0
2017-07-26   7.95   8.000   308195.0
2017-07-27   8.00   7.950   309082.0
2017-07-28   7.95   8.000   272724.0
2017-07-31   8.05   7.800   649074.0
2017-08-01   8.30   8.400  2369012.0
2017-08-02   8.45   8.450  1715065.0
2017-08-03   8.40   8.400   440739.0
2017-08-04   8.80   8.750  1241816.0
2017-08-07   8.90   8.850  1497268.0
2017-08-08   8.85   9.050   727432.0
2017-08-09   9.05   8.800   515037.0
2017-08-10   8.80   8.900   964077.0
2017-08-11   8.85   9.000   880106.0
2017-08-14   9.10   9.100   915491.0
2017-08-15   9.20   9.000   418490.0
2017-08-16   9.00   8.950   710716.0
2017-08-17   8.95   8.750   463541.0
2017-08-18   8.65   8.800   554495.0
2017-08-21   8.70   8.800   343559.0
2017-08-22   8.90   8.850   209635.0
2017-08-23   8.85   8.900   321194.0
2017-08-24   9.00   9.000   207029.0
2017-08-25   9.00   9.050   279393.0
2017-08-28   9.05   9.000   892354.0
2017-08-29   9.00   9.050   366622.0
2017-08-30   9.10   9.050   310082.0
2017-08-31   9.10   9.050   285566.0
2017-09-01   9.00   9.200   176442.0
2017-09-05   9.15   9.100   286480.0
2017-09-06   9.20   9.050   209195.0
2017-09-07   9.10   9.150   383243.0
2017-09-08   9.15   9.200   330542.0
2017-09-11   9.25   9.150   278657.0
2017-09-12   9.25   9.250   268334.0
2017-09-13   9.25   9.400   611530.0
2017-09-14   9.45   9.350   540648.0
2017-09-15   9.35   9.400   505755.0
2017-09-18   9.40   9.400   237066.0
2017-09-19   9.40   9.450   636099.0
2017-09-20   9.50   9.700   427294.0
2017-09-21   9.70   9.700   422696.0
2017-09-22   9.65   9.850   274987.0
2017-09-25   9.80  10.000  1167502.0
2017-09-26   9.95   9.850   984543.0
2017-09-27   9.85  10.000   378021.0
2017-09-28  10.00  10.250   844113.0
2017-09-29  10.25   9.500  1192584.0
2017-10-02   9.60   9.700   596719.0
2017-10-03   9.65   9.450  1217516.0
2017-10-04   9.50   9.350   453446.0
2017-10-05   9.40   9.500   347420.0
2017-10-06   9.45   9.400   202360.0
2017-10-09   9.55   9.975   538931.0
2017-10-10  10.10   9.900   498244.0
2017-10-11   9.95   9.900   761241.0
2017-10-12   9.90   9.650   313788.0
2017-10-13   9.75   9.600   339001.0
2017-10-16   9.70   9.750   529616.0
2017-10-17   9.80   9.850   325073.0
2017-10-18   9.80   9.950   422016.0
2017-10-19   9.90   9.800   310793.0
2017-10-20   9.80   9.950   218681.0
2017-10-23  10.00  10.050   712273.0
2017-10-24  10.15  10.100   405439.0
2017-10-25  10.05  10.050   324413.0
2017-10-26  10.10  10.250   533670.0
2017-10-27  10.25  10.450   411599.0
2017-10-30  10.35  10.300   496151.0
2017-10-31  10.35  10.250   346727.0
2017-11-01  10.35  10.150   282555.0
2017-11-02  10.20  10.225   231476.0
2017-11-03  10.15  10.100   269100.0
2017-11-06  10.15  10.150   144775.0
2017-11-07  10.10   9.850   257738.0
2017-11-09   9.80  10.000   437824.0
2017-11-10  10.00   9.900   201138.0
2017-11-13   9.90   9.750   337067.0
2017-11-14   9.75   9.800   238961.0
2017-11-15   9.75  10.000   381791.0
2017-11-16  11.00  11.000  1789260.0
2017-11-17  11.00  11.150  1630266.0
2017-11-20  11.10  11.400   847649.0
2017-11-21  11.35  11.550   764984.0
2017-11-22  11.60  11.950   761035.0
2017-11-24  11.90  11.800   248539.0
2017-11-27  11.85  11.850   633060.0
2017-11-28  11.95  11.900   548079.0
2017-11-29  11.90  12.050   602014.0
2017-11-30  12.05  12.050   501718.0
2017-12-01  12.10  12.100   428177.0
2017-12-04  12.20  12.150   348007.0
2017-12-05  12.25  12.050   326964.0
2017-12-06  12.05  12.350   598975.0
2017-12-07  12.40  12.050   206281.0
2017-12-08  12.15  12.200   215651.0
2017-12-11  12.30  12.250   422338.0
2017-12-12  12.30  12.300   508071.0
2017-12-13  12.30  12.250   329063.0
2017-12-14  12.20  11.900   909085.0
2017-12-15  11.90  12.250   906599.0
2017-12-18  12.40  12.350   869324.0
2017-12-19  12.15  12.150   630756.0
2017-12-20  12.20  12.250   368921.0
2017-12-21  12.35  12.300   469014.0
2017-12-22  12.25  12.250   161233.0
2017-12-26  12.25  12.300   217620.0
2017-12-27  12.30  12.200   219316.0
2017-12-28  12.20  12.000   211562.0
2017-12-29  12.10  12.200   366879.0
2018-01-02  12.30  12.100   403089.0
2018-01-03  12.15  12.200   368404.0
2018-01-04  12.30  12.050  1177975.0
2018-01-05  12.10  12.100   408243.0
2018-01-08  12.15  11.900   702646.0
2018-01-09  11.90  12.000  1519808.0
2018-01-10  12.00  11.950   275333.0
2018-01-11  11.95  12.100   627257.0
2018-01-12  12.20  12.050  1244012.0
2018-01-16  12.15  12.100   530220.0
2018-01-17  12.20  12.300   247513.0
2018-01-18  12.30  11.850   404062.0
2018-01-19  11.85  12.100   621791.0
2018-01-22  12.00  11.800   389679.0
2018-01-23  11.80  11.850   328092.0
2018-01-24  11.85  11.850   558727.0
2018-01-25  11.85  12.000   365729.0
2018-01-26  12.00  12.000   328947.0
2018-01-29  11.95  11.800   335775.0
2018-01-30  11.80  11.800   219540.0
2018-01-31  11.85  11.800   457295.0
2018-02-01  12.50  13.500  6220584.0
2018-02-02  13.60  13.000  1019995.0
2018-02-05  13.05  12.925   738126.0
2018-02-06  12.70  13.100   652973.0
2018-02-07  13.10  13.200   503170.0
2018-02-08  13.20  13.200  1003322.0
2018-02-09  13.20  13.150   843814.0
2018-02-12  13.15  12.700   633288.0
2018-02-13  12.65  12.750   551088.0
2018-02-14  12.70  12.850   278402.0
2018-02-15  12.90  12.850   505486.0
2018-02-16  12.85  13.050   428871.0
2018-02-20  12.95  12.800   324306.0
2018-02-21  12.75  13.150   464521.0
2018-02-22  13.25  13.100   282515.0
2018-02-23  13.20  13.150   317824.0
2018-02-26  13.15  13.150   147314.0
2018-02-27  13.20  12.850   338816.0
2018-02-28  12.85  13.000   336647.0
2018-03-01  12.95  12.800   579075.0
2018-03-02  12.70  13.200   702439.0
2018-03-05  13.05  13.600   726029.0
2018-03-06  13.60  13.600   410443.0
2018-03-07  13.50  13.550   564394.0
2018-03-08  13.70  13.550   221192.0
2018-03-09  13.60  13.550   511082.0
2018-03-12  13.60  13.850   520886.0
2018-03-13  14.00  13.700   419686.0
2018-03-14  13.75  13.350  1640799.0
2018-03-15  13.30  13.100   417125.0
2018-03-16  13.20  13.250   701076.0
2018-03-19  13.25  13.200   264558.0
