date    open  close      volume
                                    
2016-01-04  39.390  40.37   2546783.0
2016-01-05  40.500  40.72   2374109.0
2016-01-06  39.980  39.76   3718437.0
2016-01-07  39.020  38.96   2808294.0
2016-01-08  39.130  37.79   3952958.0
2016-01-11  37.580  37.14   3573834.0
2016-01-12  37.710  37.52   1876201.0
2016-01-13  37.670  36.15   3060520.0
2016-01-14  36.260  36.11   2767089.0
2016-01-15  35.050  35.57   4086784.0
2016-01-19  36.150  35.76   2950767.0
2016-01-20  35.000  36.49   3342763.0
2016-01-21  37.000  37.51   3488049.0
2016-01-22  38.060  38.41   2044122.0
2016-01-25  38.120  36.73   3301534.0
2016-01-26  37.070  37.79   2547051.0
2016-01-27  37.570  38.03   2905254.0
2016-01-28  38.700  38.73   2444741.0
2016-01-29  38.890  39.90   3345592.0
2016-02-01  39.930  40.44   4845354.0
2016-02-02  47.110  50.11  28549532.0
2016-02-03  49.840  51.72  11638478.0
2016-02-04  51.100  51.72   6369011.0
2016-02-05  51.380  51.84   5742623.0
2016-02-08  51.460  50.20   5430732.0
2016-02-09  48.320  50.23   4644393.0
2016-02-10  51.000  50.16   3698793.0
2016-02-11  49.720  49.14   4514576.0
2016-02-12  49.570  49.57   4215923.0
2016-02-16  50.050  50.76   3907769.0
2016-02-17  51.780  52.49   4793886.0
2016-02-18  52.540  53.24   4886522.0
2016-02-19  52.780  52.73   2633983.0
2016-02-22  53.010  54.82   4846825.0
2016-02-23  54.560  54.77   3194081.0
2016-02-24  54.200  55.44   3494949.0
2016-02-25  55.220  56.47   3720526.0
2016-02-26  56.520  56.58   3849166.0
2016-02-29  56.750  56.65   4127320.0
2016-03-01  56.990  57.29   3561499.0
2016-03-02  57.350  57.84   2747549.0
2016-03-03  57.750  57.19   3173817.0
2016-03-04  57.520  57.16   2319338.0
2016-03-07  57.140  57.43   2025847.0
2016-03-08  57.080  56.75   2278339.0
2016-03-09  57.270  58.14   2958163.0
2016-03-10  58.190  57.37   3203854.0
2016-03-11  58.010  58.50   2292862.0
2016-03-14  58.520  58.54   2527412.0
2016-03-15  58.230  57.29   2411253.0
2016-03-16  57.000  56.06   3596148.0
2016-03-17  56.080  56.79   2531795.0
2016-03-18  57.170  56.97   3001898.0
2016-03-21  56.770  56.92   1425577.0
2016-03-22  56.590  56.04   1844656.0
2016-03-23  55.740  55.93   2118502.0
2016-03-24  55.810  55.53   1995029.0
2016-03-28  55.740  56.27   1604562.0
2016-03-29  56.140  56.37   1657652.0
2016-03-30  56.900  56.87   1517374.0
2016-03-31  56.870  56.96   1913312.0
2016-04-01  56.820  56.97   2560744.0
2016-04-04  57.390  56.35   3126251.0
2016-04-05  56.220  55.90   2496643.0
2016-04-06  55.970  56.32   2051684.0
2016-04-07  55.660  53.74   4207662.0
2016-04-08  54.030  51.19   4622352.0
2016-04-11  51.300  51.38   4051439.0
2016-04-12  51.380  51.62   2534285.0
2016-04-13  51.930  53.15   3532591.0
2016-04-14  53.070  51.80   2076805.0
2016-04-15  51.680  52.29   1929707.0
2016-04-18  52.170  52.64   1580228.0
2016-04-19  52.710  51.98   3942458.0
2016-04-20  51.340  51.98   3473553.0
2016-04-21  52.340  51.64   1650016.0
2016-04-22  51.010  51.60   2538379.0
2016-04-25  51.750  51.84   2133951.0
2016-04-26  52.010  53.41   3497502.0
2016-04-27  54.300  55.12   3436688.0
2016-04-28  54.890  52.82   2374203.0
2016-04-29  52.780  51.66   3476992.0
2016-05-02  51.970  52.95   2499392.0
2016-05-03  52.120  52.43   2199747.0
2016-05-04  52.110  51.31   1648952.0
2016-05-05  51.080  50.18   2283472.0
2016-05-06  50.180  50.87   1987390.0
2016-05-09  50.560  50.68   2028001.0
2016-05-10  50.690  49.90   3615420.0
2016-05-11  46.230  44.01  15023048.0
2016-05-12  44.340  43.79   5584578.0
2016-05-13  43.070  41.91   9170461.0
2016-05-16  41.860  41.46   3053533.0
2016-05-17  41.430  41.63   4735409.0
2016-05-18  41.375  40.75   3144192.0
2016-05-19  40.660  40.70   3620653.0
2016-05-20  40.840  41.55   2747947.0
2016-05-23  41.870  41.51   3709536.0
2016-05-24  41.510  41.56   3967266.0
2016-05-25  41.060  41.80   2735726.0
2016-05-26  42.340  41.82   2992363.0
2016-05-27  41.940  41.79   2944478.0
2016-05-31  41.660  42.72  10041712.0
2016-06-01  45.290  45.55  16528974.0
2016-06-02  45.420  47.51   9374083.0
2016-06-03  46.880  48.45   7149713.0
2016-06-06  48.450  49.59   5455273.0
2016-06-07  49.170  50.85   6035167.0
2016-06-08  50.860  50.67   6388772.0
2016-06-09  50.330  50.74   4610416.0
2016-06-10  50.000  49.84   3804490.0
2016-06-13  49.650  49.67   4273836.0
2016-06-14  49.280  49.42   3995993.0
2016-06-15  49.730  49.88   2861834.0
2016-06-16  49.630  49.09   2786759.0
2016-06-17  49.100  49.97   2793130.0
2016-06-20  50.890  50.04   2350142.0
2016-06-21  50.330  50.66   2973080.0
2016-06-22  50.400  50.80   3417515.0
2016-06-23  51.370  50.82   3150462.0
2016-06-24  48.400  47.61   5684485.0
2016-06-27  47.140  46.19   3293367.0
2016-06-28  46.800  47.44   2575185.0
2016-06-29  48.010  48.42   2968602.0
2016-06-30  48.470  49.48   2675062.0
2016-07-01  49.530  50.08   1870131.0
2016-07-05  49.660  49.16   2755459.0
2016-07-06  49.000  48.54   4745701.0
2016-07-07  48.580  49.05   3622307.0
2016-07-08  49.690  50.23   2876833.0
2016-07-11  50.400  51.10   2990791.0
2016-07-12  51.540  51.91   2278293.0
2016-07-13  51.840  51.72   1631252.0
2016-07-14  51.910  51.57   1748230.0
2016-07-15  51.840  51.64   1226768.0
2016-07-18  51.640  52.00   1678798.0
2016-07-19  51.600  51.19   2120923.0
2016-07-20  51.160  51.59   1470269.0
2016-07-21  51.500  51.35   2008148.0
2016-07-22  51.220  51.44   1903073.0
2016-07-25  50.950  51.68   1823955.0
2016-07-26  51.680  52.16   2694069.0
2016-07-27  52.160  52.33   2904880.0
2016-07-28  52.230  52.06   1743313.0
2016-07-29  51.860  51.72   1628482.0
2016-08-01  51.800  52.90   3217933.0
2016-08-02  52.650  50.32   3304808.0
2016-08-03  47.640  49.02   5564918.0
2016-08-04  49.260  49.67   3210919.0
2016-08-05  49.890  50.41   2644986.0
2016-08-08  50.880  50.27   4161618.0
2016-08-09  49.970  50.11   5864192.0
2016-08-10  49.590  48.71   8333879.0
2016-08-11  49.220  49.13   4356187.0
2016-08-12  48.810  48.79   2481517.0
2016-08-15  49.000  49.96   3190948.0
2016-08-16  49.690  49.90   2102792.0
2016-08-17  49.770  48.80   3614885.0
2016-08-18  48.950  49.31   2873358.0
2016-08-19  49.210  50.08   2514431.0
2016-08-22  49.840  50.13   2032440.0
2016-08-23  50.330  50.78   2208538.0
2016-08-24  50.660  50.34   2282743.0
2016-08-25  50.110  50.26   2551040.0
2016-08-26  50.130  49.59   1948674.0
2016-08-29  49.590  50.21   1451085.0
2016-08-30  49.960  49.25   1676406.0
2016-08-31  49.140  48.95   2122621.0
2016-09-01  48.880  49.62   1770993.0
2016-09-02  49.480  49.21   2544118.0
2016-09-06  49.170  48.74   1778756.0
2016-09-07  48.870  49.92   2834131.0
2016-09-08  49.920  49.17   2316420.0
2016-09-09  49.000  47.73   2008738.0
