date   open  close     volume
                                  
2016-01-04  7.060  7.150   223776.0
2016-01-05  7.190  6.900   292483.0
2016-01-06  6.790  6.720   148920.0
2016-01-07  6.400  6.010   502131.0
2016-01-08  5.970  6.130   218499.0
2016-01-11  6.210  6.190   258486.0
2016-01-12  6.270  6.230   198407.0
2016-01-13  6.250  5.870   227705.0
2016-01-14  5.910  5.990   133330.0
2016-01-15  5.850  5.770   259043.0
2016-01-19  5.920  6.000   221386.0
2016-01-20  5.960  5.960   309136.0
2016-01-21  5.940  6.420   223094.0
2016-01-22  6.550  6.550   347192.0
2016-01-25  6.530  6.850   231626.0
2016-01-26  6.850  7.100   413229.0
2016-01-27  7.100  6.940   205455.0
2016-01-28  7.030  6.860   176015.0
2016-01-29  6.880  6.970   250091.0
2016-02-01  6.920  6.940   220141.0
2016-02-02  6.890  6.640   185048.0
2016-02-03  6.690  6.610   199711.0
2016-02-04  6.620  6.740   178961.0
2016-02-05  6.700  6.410   170473.0
2016-02-08  6.330  6.440   141937.0
2016-02-09  6.360  6.320    96289.0
2016-02-10  6.340  6.380   144845.0
2016-02-11  6.300  6.220   132471.0
2016-02-12  6.270  6.310   111508.0
2016-02-16  6.350  6.190   324399.0
2016-02-17  5.610  5.150  1268929.0
2016-02-18  5.150  5.080   577139.0
2016-02-19  5.060  5.410   306937.0
2016-02-22  5.500  5.410   185333.0
2016-02-23  5.400  5.500   226595.0
2016-02-24  5.480  5.380   207350.0
2016-02-25  5.430  5.270   206693.0
2016-02-26  5.260  5.500   168189.0
2016-02-29  5.460  5.730   204150.0
2016-03-01  5.760  5.560   166051.0
2016-03-02  5.580  6.100   230383.0
2016-03-03  6.120  6.070   290215.0
2016-03-04  6.070  5.950   171502.0
2016-03-07  5.890  6.080   134173.0
2016-03-08  6.010  5.910   192445.0
2016-03-09  5.920  6.060    94663.0
2016-03-10  6.090  6.000   141373.0
2016-03-11  6.030  6.130    97128.0
2016-03-14  6.000  6.090   159867.0
2016-03-15  6.050  6.190   172556.0
2016-03-16  6.130  6.110   108852.0
2016-03-17  6.060  6.070   161896.0
2016-03-18  6.110  6.260   313611.0
2016-03-21  6.320  6.390   199029.0
2016-03-22  6.340  6.160   147061.0
2016-03-23  6.120  5.890   132196.0
2016-03-24  5.780  5.720   227253.0
2016-03-28  5.770  5.600   154333.0
2016-03-29  5.550  5.570   284447.0
2016-03-30  5.600  5.810   636019.0
2016-03-31  5.770  5.940   248997.0
2016-04-01  5.860  5.950    83668.0
2016-04-04  5.940  6.110   191611.0
2016-04-05  6.010  6.060   143094.0
2016-04-06  6.090  6.140   165905.0
2016-04-07  6.090  5.890   147516.0
2016-04-08  5.880  6.030   114721.0
2016-04-11  6.030  5.980   127482.0
2016-04-12  5.960  6.150   140882.0
2016-04-13  6.320  6.320   255080.0
2016-04-14  6.300  6.420   158528.0
2016-04-15  6.350  6.450   139910.0
2016-04-18  6.350  6.440   110392.0
2016-04-19  6.430  6.430   151632.0
2016-04-20  6.390  6.530   121919.0
2016-04-21  6.580  6.530   117689.0
2016-04-22  6.500  6.660   114839.0
2016-04-25  6.620  6.580    84712.0
2016-04-26  6.610  6.610   109364.0
2016-04-27  6.580  6.680   133679.0
2016-04-28  6.680  6.470   132755.0
2016-04-29  6.480  6.420    95726.0
2016-05-02  6.450  6.320    98407.0
2016-05-03  6.270  6.190   230076.0
2016-05-04  5.600  5.990   282967.0
2016-05-05  5.990  6.000   144535.0
2016-05-06  5.940  6.020   139137.0
2016-05-09  5.750  5.960   199944.0
2016-05-10  5.930  5.700   207349.0
2016-05-11  5.660  5.770   110950.0
2016-05-12  5.750  5.710    92225.0
2016-05-13  5.690  5.480   150843.0
2016-05-16  5.500  5.590    95848.0
2016-05-17  5.510  5.480   118514.0
2016-05-18  5.490  5.520    90674.0
2016-05-19  5.530  5.450   108938.0
2016-05-20  5.520  5.680   122691.0
2016-05-23  5.750  5.770   119040.0
2016-05-24  5.760  5.640   103739.0
2016-05-25  5.680  5.650   117813.0
2016-05-26  5.640  5.720    87506.0
2016-05-27  5.710  5.670   148962.0
2016-05-31  5.640  5.330   195074.0
2016-06-01  5.350  5.310   186365.0
2016-06-02  5.270  5.230   198301.0
2016-06-03  5.240  5.580   181147.0
2016-06-06  5.570  5.600   107200.0
2016-06-07  5.570  5.560   108072.0
2016-06-08  5.560  5.530   142899.0
2016-06-09  5.500  5.400    88506.0
2016-06-10  5.370  5.240    84420.0
2016-06-13  5.210  5.070   386258.0
2016-06-14  5.070  5.110   176779.0
2016-06-15  5.110  5.130   141380.0
2016-06-16  5.090  5.070   149041.0
2016-06-17  5.110  5.000   249328.0
2016-06-20  5.050  5.090   145267.0
2016-06-21  5.090  5.320   304971.0
2016-06-22  5.340  5.170   269525.0
2016-06-23  5.190  5.360   311915.0
2016-06-24  5.350  5.050  3207052.0
2016-06-27  5.010  4.900   267273.0
2016-06-28  4.970  5.110   200804.0
2016-06-29  5.180  5.100   146510.0
2016-06-30  5.110  5.280   186011.0
2016-07-01  5.230  5.250   107818.0
2016-07-05  5.190  5.380   237709.0
2016-07-06  5.330  5.190   130922.0
2016-07-07  5.190  5.150   176365.0
2016-07-08  5.200  5.310   223012.0
2016-07-11  5.310  5.440   190722.0
2016-07-12  5.500  5.510   172158.0
2016-07-13  5.540  5.460   109661.0
2016-07-14  5.510  5.480    70015.0
2016-07-15  5.500  5.490   152794.0
2016-07-18  5.510  5.500   108534.0
2016-07-19  5.490  5.440    81284.0
2016-07-20  5.470  5.530    97963.0
2016-07-21  5.520  5.410   152861.0
2016-07-22  5.410  5.510    88007.0
2016-07-25  5.500  5.495    75926.0
2016-07-26  5.540  5.540    60351.0
2016-07-27  5.550  5.580    99856.0
