date    open  close      volume
                                    
2016-01-04  30.000  29.17   1873609.0
2016-01-05  29.240  28.59   2346842.0
2016-01-06  27.940  26.19   3034803.0
2016-01-07  25.360  27.14   2295502.0
2016-01-08  27.520  25.67   1958451.0
2016-01-11  25.680  23.10   3065225.0
2016-01-12  23.400  23.20   2224278.0
2016-01-13  23.400  21.38   2394776.0
2016-01-14  21.450  25.16   4420630.0
2016-01-15  23.510  27.11   3596264.0
2016-01-19  27.655  24.74   3114726.0
2016-01-20  23.200  26.23   2139135.0
2016-01-21  26.210  26.51   2050356.0
2016-01-22  26.510  27.62   1340940.0
2016-01-25  27.620  26.74   1519421.0
2016-01-26  26.750  25.95   1361903.0
2016-01-27  26.780  26.37   1776013.0
2016-01-28  27.950  29.00   6338228.0
2016-01-29  30.130  29.14   4475740.0
2016-02-01  30.290  31.57   3654204.0
2016-02-02  31.580  30.70   2764559.0
2016-02-03  32.110  31.01   2817419.0
2016-02-04  31.390  34.96   3934790.0
2016-02-05  34.750  35.97   2970828.0
2016-02-08  34.660  35.02   1902501.0
2016-02-09  34.150  33.92   1693729.0
2016-02-10  34.710  31.19   1630395.0
2016-02-11  30.040  30.39   1351141.0
2016-02-12  30.780  29.67   1353504.0
2016-02-16  30.000  30.60   1312868.0
2016-02-17  31.450  32.32   1838817.0
2016-02-18  32.500  30.94   1462890.0
2016-02-19  30.750  32.42   1319528.0
2016-02-22  32.800  32.68    825102.0
2016-02-23  32.400  31.55   1190009.0
2016-02-24  30.950  32.28   1210252.0
2016-02-25  32.060  31.55   1257800.0
2016-02-26  31.850  33.76   1580432.0
2016-02-29  33.700  30.95   1655199.0
2016-03-01  32.750  33.73   2637249.0
2016-03-02  33.900  37.02   2893079.0
2016-03-03  36.950  37.28   2022354.0
2016-03-04  37.300  37.03   1816786.0
2016-03-07  38.040  38.90   2569368.0
2016-03-08  38.490  36.47   1620541.0
2016-03-09  36.850  37.55    897467.0
2016-03-10  37.800  34.99   1446371.0
2016-03-11  35.800  37.97   1721914.0
2016-03-14  38.450  37.42   1160972.0
2016-03-15  36.830  34.19   1917563.0
2016-03-16  33.800  34.52   1168506.0
2016-03-17  34.550  35.78   1624643.0
2016-03-18  35.640  37.38   2711830.0
2016-03-21  37.000  38.44   1758194.0
2016-03-22  37.850  37.80   1940744.0
2016-03-23  37.590  35.46   1802978.0
2016-03-24  35.250  35.94   1263255.0
2016-03-28  36.040  34.53   1672179.0
2016-03-29  34.050  35.27   1592636.0
2016-03-30  35.800  33.78   1626750.0
2016-03-31  33.730  33.89   1460590.0
2016-04-01  33.400  34.68   1587001.0
2016-04-04  35.090  35.00   1716073.0
2016-04-05  34.250  33.45   2014263.0
2016-04-06  33.770  35.11   1472277.0
2016-04-07  35.020  34.56   1325216.0
2016-04-08  34.860  34.41    823732.0
2016-04-11  34.560  33.17   1647048.0
2016-04-12  33.200  32.99   1469229.0
2016-04-13  34.290  35.69   2167703.0
2016-04-14  36.000  38.00   3142239.0
2016-04-15  38.000  37.96   1382523.0
2016-04-18  37.750  36.99   1165560.0
2016-04-19  36.820  35.76    996666.0
2016-04-20  35.990  36.83    931624.0
2016-04-21  35.020  27.10  14115546.0
2016-04-22  28.410  29.01   7650631.0
2016-04-25  28.750  27.81   2412566.0
2016-04-26  27.530  26.92   2550688.0
2016-04-27  24.960  27.24   6846543.0
2016-04-28  26.940  26.85   2195900.0
2016-04-29  26.790  26.73   1988664.0
2016-05-02  26.570  27.55   2287326.0
2016-05-03  27.500  26.26   2089914.0
2016-05-04  25.940  24.99   2667372.0
2016-05-05  24.810  25.38   2455680.0
2016-05-06  24.850  26.21   1879012.0
2016-05-09  26.030  27.21   1694053.0
2016-05-10  27.300  27.75   2272878.0
2016-05-11  25.560  25.82   2989096.0
2016-05-12  25.710  24.50   2513387.0
2016-05-13  23.240  24.35   3619491.0
2016-05-16  24.630  25.55   2126366.0
2016-05-17  25.550  26.64   1947139.0
2016-05-18  26.540  26.68    858517.0
2016-05-19  26.450  26.53    852286.0
2016-05-20  26.700  28.05   1902326.0
2016-05-23  28.240  29.59   2094066.0
2016-05-24  30.230  30.58   2385925.0
2016-05-25  30.800  30.43   1205894.0
2016-05-26  30.630  30.24    759983.0
2016-05-27  30.210  30.02    723139.0
2016-05-31  30.500  30.74   1454454.0
2016-06-01  30.560  29.94   1042422.0
2016-06-02  29.560  29.99   1203523.0
2016-06-03  29.760  28.96   1087666.0
2016-06-06  29.000  29.70   1093750.0
2016-06-07  29.500  28.62   1017746.0
2016-06-08  28.400  26.50   2130289.0
2016-06-09  26.340  25.13   1631417.0
2016-06-10  24.790  25.27   1577618.0
2016-06-13  25.000  25.13   1441941.0
2016-06-14  25.000  24.85   1590057.0
2016-06-15  24.850  25.50   2586432.0
2016-06-16  25.110  25.42   1861139.0
2016-06-17  25.810  23.95   4639989.0
2016-06-20  24.340  25.12   2586340.0
2016-06-21  25.370  24.78   1195154.0
2016-06-22  24.750  24.65   1289511.0
2016-06-23  24.560  25.20   1967698.0
2016-06-24  23.990  24.00   2440533.0
2016-06-27  23.820  23.99   2377333.0
2016-06-28  24.290  23.82   2092458.0
2016-06-29  24.020  25.44   1466156.0
2016-06-30  24.990  24.61   1455159.0
2016-07-01  24.450  26.37   1348533.0
2016-07-05  26.030  25.17   1338210.0
2016-07-06  24.850  25.89   1557349.0
2016-07-07  25.430  25.89   1076509.0
2016-07-08  25.890  26.72   1353978.0
2016-07-11  27.390  26.23   1213150.0
2016-07-12  26.700  25.89   1107396.0
2016-07-13  26.100  24.67    969307.0
2016-07-14  24.760  24.89    700632.0
2016-07-15  24.240  24.55   1184972.0
2016-07-18  24.640  25.45    820685.0
2016-07-19  25.060  23.08   2840916.0
2016-07-20  23.470  24.55   1376515.0
2016-07-21  24.880  24.33   1223103.0
2016-07-22  24.430  24.01    737617.0
2016-07-25  24.030  24.38    860514.0
2016-07-26  24.260  24.61    706312.0
2016-07-27  24.630  25.57    849196.0
2016-07-28  25.400  24.71    749760.0
2016-07-29  24.650  25.33    842160.0
2016-08-01  25.270  27.38   2369835.0
2016-08-02  27.590  26.23   1768253.0
2016-08-03  26.370  28.39   2825271.0
2016-08-04  28.650  27.68   1539068.0
2016-08-05  28.050  28.71   1823239.0
2016-08-08  30.100  27.05   2295601.0
2016-08-09  26.980  26.96   1637135.0
2016-08-10  27.380  27.93   2739475.0
2016-08-11  28.350  28.68   1219503.0
2016-08-12  28.630  28.27   1143102.0
2016-08-15  28.680  29.00   1287071.0
2016-08-16  29.030  28.58    900436.0
2016-08-17  28.450  29.26   2422109.0
2016-08-18  29.310  29.35   1004314.0
2016-08-19  29.400  29.16   1387721.0
2016-08-22  29.230  29.84   2042038.0
2016-08-23  29.900  29.27   1173744.0
2016-08-24  29.310  26.29   2999488.0
2016-08-25  26.500  25.68   2016960.0
2016-08-26  25.670  26.12   1771387.0
2016-08-29  26.040  25.47   2533045.0
2016-08-30  25.490  25.45   1143664.0
2016-08-31  25.200  25.24   1289007.0
2016-09-01  25.010  25.29   1050463.0
2016-09-02  25.380  25.33    966052.0
2016-09-06  25.380  26.00   1276929.0
2016-09-07  26.030  27.16   3962615.0
2016-09-08  27.150  27.29   1561090.0
2016-09-09  26.880  25.40   1873187.0
2016-09-12  25.110  26.59   1254284.0
2016-09-13  26.060  26.62    887802.0
2016-09-14  26.830  26.79   1044638.0
2016-09-15  27.020  27.44   1005579.0
2016-09-16  27.180  27.85   1803479.0
2016-09-19  28.000  27.92   1246137.0
2016-09-20  28.130  27.88    918412.0
2016-09-21  28.020  28.11   1490600.0
2016-09-22  28.260  28.04    909791.0
2016-09-23  27.910  27.41    860979.0
2016-09-26  27.540  27.19    477034.0
2016-09-27  27.060  27.45    669571.0
2016-09-28  27.660  27.81    943149.0
2016-09-29  27.800  27.75   2241187.0
2016-09-30  27.750  28.02   1065265.0
2016-10-03  27.770  29.04   1364126.0
2016-10-04  29.000  28.78   1262571.0
2016-10-05  28.820  28.91   1017500.0
2016-10-06  28.760  28.53    784900.0
2016-10-07  28.470  29.69   1387993.0
2016-10-10  29.860  30.49   1421769.0
2016-10-11  30.290  29.37   1197253.0
2016-10-12  29.230  27.56   1270303.0
2016-10-13  27.000  27.29   1048654.0
2016-10-14  27.360  26.68   1346610.0
2016-10-17  26.680  25.83   1092518.0
2016-10-18  26.150  26.35    831678.0
2016-10-19  26.300  25.97    947444.0
2016-10-20  25.880  27.07    869939.0
2016-10-21  26.870  26.63   1306812.0
2016-10-24  26.700  26.62    565773.0
2016-10-25  26.370  26.34    571851.0
2016-10-26  26.380  26.40    696184.0
2016-10-27  26.640  26.11    709124.0
2016-10-28  25.920  25.94   1160112.0
2016-10-31  25.980  26.10    616546.0
2016-11-01  26.020  26.44    645838.0
2016-11-02  26.190  25.60    931716.0
2016-11-03  25.920  24.51   1326143.0
2016-11-04  24.450  25.39   1551180.0
2016-11-07  25.670  25.37   1211247.0
2016-11-08  24.990  25.79    977369.0
2016-11-09  27.230  28.12   2195418.0
2016-11-10  28.140  29.42   1793735.0
2016-11-11  29.260  29.70   1606854.0
2016-11-14  29.810  31.98   2037259.0
2016-11-15  32.000  32.66   1632579.0
2016-11-16  32.450  30.50   2900715.0
2016-11-17  30.680  31.42    883118.0
2016-11-18  31.350  31.19   1141018.0
2016-11-21  30.900  31.01   1388332.0
2016-11-22  31.340  30.35   1079842.0
2016-11-23  29.710  31.32    682730.0
2016-11-25  31.340  31.68    460383.0
2016-11-28  31.390  30.39   1337144.0
2016-11-29  30.440  30.35    841881.0
2016-11-30  30.410  29.18   1299483.0
2016-12-01  29.440  27.84   1330886.0
2016-12-02  27.950  28.28   1015997.0
2016-12-05  28.540  29.95   1408437.0
2016-12-06  29.980  30.49   1175912.0
2016-12-07  29.560  30.00   1667841.0
2016-12-08  29.970  30.35   1442296.0
2016-12-09  30.600  29.83    979206.0
2016-12-12  29.480  28.43   1144399.0
2016-12-13  28.940  28.71   1206136.0
2016-12-14  28.700  28.11   1215918.0
2016-12-15  28.200  28.38   1041105.0
2016-12-16  28.280  28.35   2359384.0
2016-12-19  28.410  28.64   1110339.0
2016-12-20  28.820  27.22   1355134.0
2016-12-21  27.150  26.13   1140060.0
2016-12-22  26.000  25.60   1049163.0
